entry_time,range_pts,spread_pts,mins_after_range,dir,entry,sl,risk_money,profit_money,R,exit,close_pos
2024.01.02 02:22,155,12,7,sell,2063.26,2064.17,199.29,-107.06,-0.537,sl 2063.72,0.529
2024.01.03 02:24,175,9,9,buy,2061.44,2060.09,197.10,-204.24,-1.036,sl 2060.09,0.983
2024.01.08 02:16,144,11,1,buy,2045.56,2044.45,193.14,-100.68,-0.521,sl 2045.01,0.875
2024.01.09 02:19,257,8,4,buy,2033.62,2031.95,190.38,-100.14,-0.526,sl 2032.79,0.899
2024.01.11 02:16,116,20,1,buy,2027.89,2027.02,189.66,-200.20,-1.056,sl 2027.02,0.724
2024.01.15 02:25,202,9,10,buy,2048.00,2046.77,185.73,367.13,1.977,tp 2050.46,0.609
2024.01.16 02:26,82,17,11,sell,2053.02,2054.06,192.40,381.33,1.982,tp 2050.94,0.902
2024.01.17 02:17,237,11,2,sell,2025.66,2026.96,200.20,-204.57,-1.022,sl 2026.96,0.890
2024.01.22 02:21,189,11,6,sell,2026.62,2027.56,196.46,-108.34,-0.551,sl 2027.09,0.952
2024.01.24 02:25,101,9,10,sell,2027.73,2028.82,194.02,-106.52,-0.549,sl 2028.28,1.000
2024.01.29 02:17,136,13,2,buy,2022.14,2021.18,192.00,-201.66,-1.050,sl 2021.18,0.257
2024.01.30 02:20,92,7,5,buy,2032.30,2031.33,188.18,-104.46,-0.555,sl 2031.82,0.609
2024.01.31 02:18,161,8,3,buy,2038.10,2037.21,186.01,-102.10,-0.549,sl 2037.66,0.907
2024.02.01 02:26,114,16,11,buy,2040.65,2039.76,183.34,360.79,1.968,tp 2042.43,0.570
2024.02.05 02:19,346,20,4,sell,2036.28,2038.06,190.46,-99.36,-0.522,sl 2037.17,0.636
2024.02.06 02:25,55,13,10,buy,2026.24,2025.32,188.60,373.43,1.980,tp 2028.08,0.455
2024.02.08 02:21,100,7,6,buy,2037.64,2036.79,196.35,-105.91,-0.539,sl 2037.22,0.530
2024.02.14 02:20,70,7,5,buy,1992.05,1991.12,194.37,-108.23,-0.557,sl 1991.59,0.700
2024.02.19 02:18,276,29,3,buy,2016.90,2015.13,191.16,381.43,1.995,tp 2020.44,1.000
2024.02.20 02:24,122,12,9,sell,2015.04,2015.85,200.07,-211.98,-1.060,sl 2015.85,0.959
2024.02.26 02:29,132,18,14,sell,2032.05,2033.32,195.58,-104.48,-0.534,sl 2032.69,0.500
